2018_rank,City,State,2018_estimate,2010_census,Change (%),2016_land_area (km2),2016_population_density (/km2),Location,Description,Nickname,County,Govern_type,Govern_body,Govern_mayor,Area_land,Area_water,Area_metro,Elevation,CSA,Time_zone,ZIP_code,Area_code,FIPS_code,Airport,Website,Area_land (km2),Area_water (km2),Area_metro (km2),Elevation (m)
48,Arlington,Texas,398112,365438,8.94,248.1,1600,32°42′03″N 97°07′29″W,"Arlington is a city in the U.S. state of Texas, located in Tarrant County. It is part of the Mid-Cities region of the Dallas–Fort Worth–Arlington metropolitan area, approximately 12 miles (19 km) east of downtown Fort Worth and 20 miles (32 km) west of downtown Dallas.",,Tarrant,Council–Manager,,Jeff Williams (R),96.5 sq mi (249.9 km2),3.2 sq mi (8.3 km2),"6,810,913 (4th)(DFW Metroplex)",604 ft (184 m),7206144.0,UTC−6 (CST),76000-760760 x  -,"817,214,972",48-04000,,www.arlingtontx.gov,249.9,8.3,,184.0
49,Tampa,Florida,392890,335709,17.03,293.7,1284,27°58′12″N 82°28′47″W,"Tampa is a major city in, and the county seat of, Hillsborough County, Florida, United States. It is on the west coast of Florida on Tampa Bay, near the Gulf of Mexico, and is the largest city in the Tampa Bay Area. The bay's port is the largest in the state, near downtown's Channel District. Bayshore Boulevard runs along the bay, and is east of the historic Hyde Park neighborhood.",,,,,,,,,,,,,,,,,,,,
50,New Orleans,Louisiana,391006,343829,13.72,438.7,892,30°03′12″N 89°56′04″W,"New Orleans (/ˈɔːrl(i)ənz, ɔːrˈliːnz/, locally /ˈɔːrlənz/; French: La Nouvelle-Orléans [la nuvɛlɔʁleɑ̃] (listen)) is a consolidated city-parish located along the Mississippi River in the southeastern region of the U.S. state of Louisiana. With an estimated population of 393,292 in 2017, it is the most populous city in Louisiana. A major port, New Orleans is considered an economic and commercial hub for the broader Gulf Coast region of the United States.","The Crescent City, The Big Easy, The City That Care Forgot, NOLA",,Mayor–council,,LaToya Cantrell (D),169.42 sq mi (438.80 km2),180.43 sq mi (467.30 km2),"3,755.2 sq mi (9,726.6 km2)",−6.5 to 20 ft (−2 to 6 m),,UTC−6 (CST),,504,22-55000,,nola.gov,438.8,467.3,9726.6,
51,Wichita,Kansas,389255,382368,1.8,415.4,939,37°41′27″N 97°20′45″W,"Wichita (/ˈwɪtʃɪtɔː/ WITCH-i-taw) is the largest city in the U.S. state of Kansas and the county seat of Sedgwick County. As of 2018, the estimated population of the city was 389,255. Wichita is the principal city of the Wichita metropolitan area which had an estimated population of 644,888 in 2018.","Air Capital of the World, ICT",Sedgwick,Council-Manager,,Jeff Longwell (R),159.29 sq mi (412.56 km2),4.30 sq mi (11.14 km2),"644,888 (US: 89th)","1,302 ft (397 m)",672796.0,UTC−6 (CST),"67201-67221, 67223, 67226-67228, 67230, 67232, 67235, 67260, 67275-67278",316,20-79000,,wichita.gov,412.56,11.14,,397.0
52,Cleveland,Ohio,383793,396815,-3.28,201.2,1917,41°28′43″N 81°40′46″W,"Cleveland (/ˈkliːvlənd/ KLEEV-lənd) is a major city in the U.S. state of Ohio, and the county seat of Cuyahoga County. The city proper has a population of 385,525, making it the 51st-largest city in the United States, and the second-largest city in Ohio. Greater Cleveland is ranked as the 32nd-largest metropolitan area in the U.S., with 2,055,612 people in 2016. The city anchors the Cleveland–Akron–Canton Combined Statistical Area, which had a population of 3,515,646 in 2010 and is ranked 15th in the United States.",The Forest City,Cuyahoga,Mayor–council,Cleveland City Council,Frank G. Jackson (D),77.70 sq mi (201.24 km2),4.77 sq mi (12.35 km2),"2,055,612 (US: 32nd)",653 ft (199 m),3501538.0,UTC−5 (EST),"44101-44106, 44108-44115, 44118-44122, 44124-44130, 44134-44135, 44143-44144, 44181, 44188, 44190-44195, 44197-44199",216,39-16000,,www.cleveland-oh.gov,201.24,12.35,,199.0
53,Bakersfield,California,383579,347483,10.39,385.4,976,35°19′16″N 119°01′06″W,"Bakersfield is a city in and the county seat of Kern County, California, United States. It covers about 151 sq mi (390 km2) near the southern end of the San Joaquin Valley and the Central Valley region. Bakersfield's population is around 380,000, making it the 9th-most populous city in California and the 52nd-most populous city in the nation. The Bakersfield–Delano Metropolitan Statistical Area, which includes all of Kern County, had a 2010 census population of 839,631, making it the 62nd-largest metropolitan area in the United States. The more built-up urban area that includes Bakersfield and areas immediately around the city, such as East Bakersfield, Oildale, and Rosedale, has a population of over 520,000. Bakersfield is a charter city.",Nashville West,Kern,Council-Manager,Bakersfield City Council,Karen K. Goh (R),149.73 sq mi (387.80 km2),1.47 sq mi (3.81 km2)  0.97%,"8,161.42 sq mi (21,138.0 km2)",404 ft (123 m),,UTC−8 (Pacific),"93220, 93241, 93263, 93301-93309, 93311-93314, 93380-93390, 93399",661,06-03526,,www.bakersfieldcity.us,387.8,3.81,21138.0,123.0
54,Aurora,Colorado,374114,325078,15.08,397.6,910,39°41′17″N 104°41′23″W,"Aurora (/əˈroʊrə/, /əˈrɔːrə/) is a Home Rule Municipality in the U.S. state of Colorado, spanning Arapahoe and Adams counties, with the extreme southeastern portion of the city extending into Douglas County. Aurora is one of the principal cities of the Denver-Aurora-Lakewood, CO Metropolitan Statistical Area (Metro Denver). The city's population was 325,078 in the 2010 census, which made it the third most populous city in the state of Colorado and the 54th most populous city in the United States.",The Gateway to the RockiesThe Sunrise of Colorado,Arapahoe CountyAdams CountyDouglas County,Home Rule Municipality,,Bob LeGare,153.52 sq mi (397.62 km2),0.67 sq mi (1.73 km2),"2,814,330 (US: 19th)","5,403 ft (1,647 m)",,UTC−7 (MST),"80010-80019, 80040-800  800 x, 80137, 80247",",303,720",08-04000,,auroragov.org,397.62,1.73,,1647.0
55,Anaheim,California,352005,336265,4.68,129.5,2711,33°51′20″N 117°45′36″W,"Anaheim (/ˈænəhaɪm/) is a city in Orange County, California, part of the Los Angeles metropolitan area. As of the 2010 United States Census, the city had a population of 336,265, making it the most populous city in Orange County and the 10th-most populous city in California. Anaheim is the second-largest city in Orange County in terms of land area, and is known for being the home of the Disneyland Resort, the Anaheim Convention Center, and two major sports teams: the Anaheim Ducks ice hockey club and the Los Angeles Angels baseball team.",,Orange,,,Harry Sidhu (R),50.32 sq mi (130.33 km2),0.60 sq mi (1.57 km2)  1.92%,,157 ft (48 m),,UTC−8 (Pacific),"92801-92809, 92812, 92814-92817, 92825, 92850, 92899",657-714,06-02000,John Wayne International AirportSNA (Major/International),www.anaheim.net,130.33,1.57,,48.0
56,Honolulu,Hawaii,347397,337256,3.01,156.7,2245,21°19′27″N 157°50′51″W,"Honolulu (/ˌhɒnəˈluːluː/; Hawaiian: [honoˈlulu]) is the capital and largest city of the U.S. state of Hawaii. It is an unincorporated part of and the county seat of the City and County of Honolulu along the southeast coast of the island of Oʻahu. The city is the main gateway to Hawaiʻi and a major portal into the United States. The city is also a major hub for international business, military defense, as well as famously being host to a diverse variety of east-west and Pacific culture, cuisine, and traditions.",Crossroads of the PacificSheltered BayHNLThe Big PineappleTown Paradise,Honolulu,,,Kirk Caldwell (D),60.5 sq mi (156.7 km2),7.9 sq mi (20.5 km2),"953,207",19 ft (6 m),,UTC−10 (Hawaiian (HST)),96801-96850,808,15-17000,,www.honolulu.gov,156.7,20.5,953207.0,6.0
57,Santa Ana,California,332725,324528,2.53,70.2,4762,33°44′11″N 117°52′59″W,"Santa Ana /ˌsæntə ˈænə/ (Spanish for ""Saint Anne"") is the county seat and second most populous city in Orange County, California in the Los Angeles metropolitan area. The United States Census Bureau estimated its 2011 population at 329,427, making Santa Ana the 57th most-populous city in the United States.",,Orange,,,Miguel A. Pulido,27.15 sq mi (70.31 km2),0.25 sq mi (0.64 km2)  0.90%,,115 ft (35 m),,UTC−8 (Pacific),"92701-92708, 92711, 92712, 92728, 92735, 92799","657-714,949",06-69000,John Wayne International AirportSNA (Major/International),santa-ana.org,70.31,0.64,,35.0
58,Riverside,California,330063,303871,8.62,210.3,1544,33°56′17″N 117°23′36″W,"Riverside is a city in Riverside County, California, United States, located in the Inland Empire metropolitan area. Riverside is the county seat of the eponymous county and named for its location beside the Santa Ana River. It is the most populous city in the Inland Empire and in Riverside County, and is located about 55 miles (89 km) east of downtown Los Angeles. It is also part of the Greater Los Angeles area. Riverside is the 59th most populous city in the United States and 12th most populous city in California. As of the 2010 Census, Riverside had a population of 303,871.",,Riverside,Council-manager,,,81.23 sq mi (210.38 km2),0.31 sq mi (0.80 km2)  0.37%,,827 ft (252 m),,UTC−8 (Pacific),"92501-92509, 92513-92519, 92521-92522",951,06-62000,San Bernardino International AirportSBD (Major/International),riversideca.gov,210.38,0.8,,252.0
59,Corpus Christi,Texas,326554,305215,6.99,452.2,720,27°45′15″N 97°10′24″W,"Corpus Christi (/ˌkɔːrpəs ˈkrɪsti/), colloquially Corpus (Latin: Body of Christ), is a coastal city in the South Texas region of the U.S. state of Texas. The county seat of Nueces County, it also extends into Aransas, Kleberg, and San Patricio counties. It is 130 miles southeast of San Antonio. Its political boundaries encompass Nueces Bay and Corpus Christi Bay. Its zoned boundaries include small land parcels or water inlets of three neighboring counties.",Sparkling City by the Sea,"Nueces, Kleberg, San Patricio, Aransas",Council-manager government|Council-Manager,,,174.6 sq mi (452 km2),329.0 sq mi (852 km2),"442,600 (114th U.S.)",7 ft (2 m),516793.0,UTC−6 (CST),"78401-78402, 78404-78418",361,48-17000,,www.cctexas.com,452.0,852.0,,2.0
60,Lexington,Kentucky,323780,295803,9.46,734.5,434,38°02′27″N 84°27′30″W,"Lexington, consolidated with Fayette County and often denoted as Lexington-Fayette, is the second-largest city in Kentucky and the 60th-largest city in the United States. By land area, Lexington is the 28th largest city in the United States. Known as the ""Horse Capital of the World,"" it is the heart of the state's Bluegrass region. It has a nonpartisan mayor-council form of government, with 12 council districts and three members elected at large, with the highest vote-getter designated vice mayor. In the 2018 U.S. Census Estimate, the city's population was 323,780 anchoring a metropolitan area of 516,697 people and a combined statistical area of 746,330 people. ",Horse Capital of the World,Fayette,,,Linda Gorton,284.5 sq mi (736.9 km2),1.0 sq mi (2.6 km2),"512,650",978 ft (298 m),,UTC−5 (EST),"40502-40517, 40522-40524, 40526, 40533, 40536, 40544, 40546, 40550, 40555, 40574-40583, 40588, 40591, 40598",859,,Blue Grass AirportLEX (Regional),www.lexingtonky.gov,736.9,2.6,512650.0,298.0
61,Stockton,California,311178,291707,6.67,159.8,1922,37°58′35″N 121°18′48″W,"Stockton is the county seat of San Joaquin County in the Central Valley of the U.S. state of California. Stockton was founded by Captain Charles Maria Weber in 1849 after he acquired Rancho Campo de los Franceses. The city is named after Robert F. Stockton, and it was the first community in California to have a name not of Spanish or Native American origin. The city is located on the San Joaquin River in the northern San Joaquin Valley and had an estimated population of 320,554 by the California Department of Finance for 2017. Stockton is the 13th largest city in California and the 63rd largest city in the United States. It was named an All-America City in 1999, 2004, 2015 and again in 2017.","'Tuleburg, Mudville, California's Sunrise Seaport. Port City. Asparagus Capital of America,",San Joaquin,City Manager-Council,,Michael Tubbs (D),61.67 sq mi (159.72 km2),3.08 sq mi (7.98 km2)  4.76%,"726,126",13 ft (4 m),,UTC−8 (Pacific),"95201-95213, 95215, 95219, 95267, 95269, 95296-95297",209,06-75000,,www.stocktongov.com,159.72,7.98,726126.0,4.0
62,Henderson,Nevada,310390,257729,20.43,271.2,1080,36°00′35″N 115°02′09″W,"Henderson, officially the City of Henderson, is a city in Clark County, Nevada, United States, about 16 miles (26 km) southeast of Las Vegas. It is the second-largest city in Nevada, after Las Vegas, with an estimated population of 302,539 in 2017. The city is part of the Las Vegas metropolitan area, which spans the entire Las Vegas Valley. Henderson occupies the southeastern end of the valley, at an elevation of 1,864 feet (568 m).",,Clark,Council-manager,,Debra March (D),107.7 sq mi (279.0 km2),0.0 sq mi (0.0 km2),,"1,864 ft (569 m)",,UTC−8 (PST),"89002, 89009, 89011, 89012, 89014-89016, 89044, 89052, 89053, 89074, 89077","702,725",32-31900,,www.cityofhenderson.com,279.0,0.0,,569.0
63,Saint Paul,Minnesota,307695,285068,7.94,134.7,2245,44°56′56″N 93°06′15″W,"Saint Paul (abbreviated St. Paul) is the capital and second-most populous city of the U.S. state of Minnesota. As of 2017, the city's estimated population was 309,180. Saint Paul is the county seat of Ramsey County, the smallest and most densely populated county in Minnesota. The city lies mostly on the east bank of the Mississippi River in the area surrounding its point of confluence with the Minnesota River, and adjoins Minneapolis, the state's largest city. Known as the ""Twin Cities"", the two form the core of Minneapolis–Saint Paul, the 16th-largest metropolitan area in the United States, with about 3.6 million residents.","the Capital City, the Saintly City, Pig's Eye, STP, Last City of the East",Ramsey,,,Melvin Carter (DFL),51.97 sq mi (134.61 km2),4.20 sq mi (10.88 km2),"3,524,583 (US: 16th)",795 ft (214 m),,UTC−6 (CST),55101-55175,651,27-58000,,www.stpaul.gov,134.61,10.88,,214.0
64,St. Louis,Missouri,302838,319294,-5.15,160.6,1939,38°38′09″N 90°14′41″W,"St. Louis (/seɪnt ˈluːɪs/) is a major independent city and inland port in the U.S. state of Missouri. It is situated along the western bank of the Mississippi River, which marks Missouri's border with Illinois. The Missouri River merges with the Mississippi River just north of the city. These two rivers combined form the fourth longest river system in the world. The city had an estimated 2017 population of 308,626 and is the cultural and economic center of the St. Louis metropolitan area (home to nearly 3,000,000 people), which is the largest metropolitan area in Missouri, the second-largest in Illinois (after Chicago), and the 20th-largest in the United States.","Gateway to the West, The Gateway City, Mound City, The Lou, Rome of the West, River City",,Mayor–council government,,Lyda Krewson (D),61.9 sq mi (160 km2),4.1 sq mi (11 km2),Greater St. Louis,466 ft (142 m),2911945.0,UTC−6 (CST),"63101-6319963101-63141, 63143-63147, 63150-63151, 63155-63158, 63160, 63163-63164, 63166-63167, 63169, 63171, 63177-63180, 63182, 63188, 63190, 63195, 63197-63199",314,,"St. Louis Lambert International Airport
MidAmerica St. Louis Airport",stlouis-mo.gov,160.0,11.0,,142.0
65,Cincinnati,Ohio,302605,296943,1.91,200.5,1490,39°08′25″N 84°30′21″W,"Cincinnati (/ˌsɪnsɪˈnæti/ SIN-sih-NAT-ee) is a major city in the U.S. state of Ohio, and is the government seat of Hamilton County. Settled in 1788, the city is located at the northern side of the confluence of the Licking and Ohio rivers, the latter of which marks the state line with Kentucky. The city drives the Cincinnati–Middletown–Wilmington combined statistical area, which had a population of 2,172,191 in the 2010 census making it Ohio's largest metropolitan area. With a population of 296,943, Cincinnati is the third-largest city in Ohio and 65th in the United States. Its metropolitan area is the fastest growing economic power in the Midwestern United States based on increase of economic output and it is the 28th-largest metropolitan statistical area in the U.S. Cincinnati is also within a day's drive of 49.70% of the United States populace.","Cincy, The Queen City, Porkopolis, Paris of America, The Nati, The 513”",Hamilton,Mayor–council,Cincinnati City Council,John Cranley (D),201.86 km2 (77.94 sq mi),4.14 km2 (1.60 sq mi),"2,137,406 (US: 28th)",147 m (482 ft),,UTC−5 (EST),"45201-45209, 45211-45255, 45258, 45262-45264, 45267-45271, 45273-45275, 45277, 45280, 45296, 45298-45299, 45999","513,937",39-15000,,cincinnati-oh.gov,77.94,1.6,,482.0
66,Pittsburgh,Pennsylvania,301048,305704,-1.52,143.5,2116,40°26′23″N 79°58′36″W,"Pittsburgh (/ˈpɪtsbɜːrɡ/ PITS-burg) is a city in the Commonwealth of Pennsylvania in the United States, and is the county seat of Allegheny County. A population of about 301,048 residents live within the city limits, making it the 66th-largest city in the U.S. The metropolitan population of 2,324,743 is the largest in both the Ohio Valley and Appalachia, the second-largest in Pennsylvania (behind Philadelphia), and the 27th-largest in the U.S.","City of Bridges, Steel City,City of Champions, The 'Burgh",Allegheny,Mayor-Council,,Bill Peduto (D),55.38 sq mi (143.42 km2),2.97 sq mi (7.69 km2)  4.8%,"5,343 sq mi (13,840 km2)",,2659937.0,UTC−5 (Eastern Standard Time),"  15106, 15120-15121, 15201, 15203-15208, 15210-15222, 15224, 15226-15227, 15230, 15232-15235, 15237, 15239, 15289, 15229","412,724,878",42-61000,,PittsburghPA.gov,143.42,7.69,13840.0,
67,Greensboro,North Carolina,294722,269666,9.29,332.3,864,36°05′42″N 79°49′37″W,"Greensboro (/ˈɡriːnzbʌroʊ/ (listen); formerly Greensborough) is a city in the U.S. state of North Carolina. It is the 3rd-most populous city in North Carolina, the 68th-most populous city in the United States, and the county seat and largest city in Guilford County and the surrounding Piedmont Triad metropolitan region. As of the 2010 census, the city population was 269,666, and in 2015 the estimated population was 285,342. Three major interstate highways (Interstate 40, Interstate 85, and Interstate 73) in the Piedmont region of central North Carolina were built to intersect at this city.","Tournament Town, Gate City,The Boro",Guilford,City Council,,Nancy B. Vaughan (D),126.5 sq mi (327.7 km2),5.3 sq mi (13.7 km2),,897 ft (272 m),1599477.0,UTC−5 (EST),"27214, 27282, 27301, 27358, 27401, 27402, 27403, 27404, 27405, 27406, 27407, 27408, 27409, 27410, 27411, 27412, 27413, 27415, 27420, 27412, 27429, 27435, 27438, 27455, 27495, 27497, 27498, 27499",336,37-28000,,www.greensboro-nc.gov,327.7,13.7,,272.0
68,Anchorage,Alaska,291538,291826,-0.1,4420.1,68,61°10′27″N 149°17′03″W,"Anchorage (officially called the Municipality of Anchorage; Dena'ina: Dgheyaytnu) is a unified home rule municipality in the U.S. state of Alaska, located in the West Coast of the United States. With an estimated 291,538 residents in 2018, it is Alaska's most populous city and contains more than 40 percent of the state's total population; among the 50 states, only New York has a higher percentage of residents who live in its most populous city. All together, the Anchorage metropolitan area, which combines Anchorage with the neighboring Matanuska-Susitna Borough, had a population of 399,148 in 2018, which accounts for more than half of the state's population. At 1,706 square miles of land area, the city is the fourth largest city by land in the United States and larger than the smallest state, Rhode Island, at 1,212 square miles.","The City of Lights and Flowers, Los Anchorage",,,Anchorage Assembly,Ethan Berkowitz (D),"1,706.61 sq mi (4,420.09 km2)",256.00 sq mi (663.04 km2),"399,148 (US: 134th)",102 ft (31 m),,UTC-9 (AKST),"99501-99524, 99529-99530, 99599",907,02-03000,,Municipality of Anchorage,4420.09,663.04,,31.0
69,Plano,Texas,288061,259841,10.86,185.7,1540,33°03′03″N 96°44′52″W,"Plano (/ˈpleɪnoʊ/ PLAY-noh) is a city in the U.S. state of Texas, located approximately twenty miles (32.2 km) north of downtown Dallas. The city of Plano is a part of the Dallas-Fort Worth metropolitan area. Plano lies mostly within Collin County, but includes a small portion that extends into Denton County.",Gymnastics Capital of the World,"Collin, Denton",Council-Manager,Plano City Council,Harry LaRosiliere (D),71.6 sq mi (185.5 km2),0.1 sq mi (0.2 km2),"7,102,796 (DFW Metroplex)",666 ft (203 m),,UTC−6 (CST),"75023-26, 75074-75, 75086, 75093-94","214,469,972",48-58016,,www.plano.gov,185.5,0.2,,203.0
70,Lincoln,Nebraska,287401,258379,11.23,238.5,1175,40°48′38″N 96°40′49″W,"Lincoln is the capital of the U.S. state of Nebraska and the county seat of Lancaster County. The city covers 94.267 square miles (244.150 km2) with a population of 287,401 in 2018. It is the second-most populous city in Nebraska and the 70th-largest in the United States. The city is the economic and cultural anchor of a substantially larger metropolitan area in the southeastern part of the state called the Lincoln Metropolitan and Lincoln-Beatrice Combined Statistical Areas. The statistical area is home to 353,120 people, making it the 106th-largest combined statistical area in the United States.",Star City,Lancaster,Strong Mayor-Council,,Leirion Gaylor Baird (D),92.913 sq mi (240.644 km2),1.354 sq mi (3.507 km2)  1.5%,"1,422.269 sq mi (3,683.660 km2)","1,176 ft (358 m)",,UTC-6 (CST),"68501-68510, 68512, 68514, 68516-68517, 68520-68524, 68526-68529, 68531-68532, 68542, 68544, 68583, 68588","402,531",31-28000,,lincoln.ne.gov,240.644,3.507,3683.66,358.0
71,Orlando,Florida,285713,238300,19.9,272.5,1017,28°25′00″N 81°16′25″W,"Orlando (/ɔːrˈlændoʊ/) is a city in the U.S. state of Florida and the county seat of Orange County. Located in Central Florida, it is the center of the Orlando metropolitan area, which had a population of 2,509,831, according to U.S. Census Bureau figures released in July 2017. These figures make it the 23rd-largest metropolitan area in the United States, the sixth-largest metropolitan area in the Southern United States, and the third-largest metropolitan area in Florida. As of 2015, Orlando had an estimated city-proper population of 280,257, making it the 73rd-largest city in the United States, the fourth-largest city in Florida, and the state's largest inland city.","The City Beautiful, Theme Park Capital of the World",Orange,Mayor–Commission,,Buddy Dyer (D),272.51 km2 (105.22 sq mi),22.10 km2 (8.53 sq mi),"2,387,138 (24th, U.S.)",25 m (82 ft),3129308.0,UTC−5 (Eastern (EST)),32825,"321,407",12-53000,,http://www.cityoforlando.net,105.22,8.53,,82.0
72,Irvine,California,282572,212375,33.05,169.9,1566,33°40′42″N 117°46′17″W,"Irvine (/ˈɜːrvaɪn/) is a master-planned city in Orange County, California, United States in the Los Angeles metropolitan area. The Irvine Company started developing the area in the 1960s and the city was formally incorporated on December 28, 1971. The 66-square-mile (170 km2) city had a population of 212,375 as of the 2010 census; in 2018 the California Department of Finance estimated the city's population at 276,176.",,Orange,Council-Manager,,Christina L. Shea,65.58 sq mi (169.86 km2),0.34 sq mi (0.89 km2)  0.52%,,56 ft (17 m),,UTC−8 (Pacific),"92602-92604, 92606, 92612, 92614, 92616-92620, 92623, 92650, 92697","949,657-714",06-36770,John Wayne International AirportSNA (Major/International),cityofirvine.org,169.86,0.89,,17.0
73,Newark,New Jersey,282090,277140,1.79,62.4,4514,40°43′27″N 74°10′21″W,"Newark (/ˈnjuːərk/, locally /njʊərk/) is the most populous city in the U.S. state of New Jersey and the seat of Essex County. As one of the nation's major air, shipping, and rail hubs, the city had a population of 282,090 in 2018, making it the nation's 73rd-most populous municipality, after being ranked 63rd in the nation in 2000.","The Brick City, The Gateway City",Essex,Faulkner Act (Mayor-Council),City Council,Ras Baraka (D),24.187 sq mi (62.644 km2),1.920 sq mi (4.973 km2)  7.35%,,13 ft (4 m),,UTC−5 (Eastern (EST)),"07101-07108, 07112, 07114",862-973,3401351000,,newarknj.gov,62.644,4.973,,4.0
74,Toledo,Ohio,274975,287208,-4.26,209.0,1332,41°39′51″N 83°34′55″W,"Toledo (/təˈliːdoʊ/) is a city in and the county seat of Lucas County, Ohio, United States. Toledo is in northwest Ohio, at the western end of Lake Erie bordering the state of Michigan. The city was founded in 1833 on the west bank of the Maumee River, and originally incorporated as part of Monroe County, Michigan Territory. It was re-founded in 1837, after conclusion of the Toledo War, when it was incorporated in Ohio.",The Glass City,Lucas,,,Wade Kapszukiewicz (D),80.69 sq mi (208.99 km2),3.43 sq mi (8.88 km2),"608,145 (US: 89th)",614 ft (187 m),,UTC−5 (EST),"43601, 43603-43615, 43617, 43620, 43623, 43635, 43652, 43654, 43656-43657, 43659-43661, 43666-43667, 43681-43682, 43697, 43699","419,567",39-77000,,www.toledo.oh.gov,208.99,8.88,,187.0
75,Durham,North Carolina,274291,228330,20.13,284.4,925,35°58′52″N 78°54′10″W,"Durham is a city in and the county seat of Durham County in the U.S. state of North Carolina.
The U.S. Census Bureau estimated the city's population to be 251,893 as of July 1, 2014, making it the 4th-most populous city in North Carolina, and the 78th-most populous city in the United States. Durham is the core of the four-county Durham-Chapel Hill Metropolitan Area, which has a population of 542,710 as of U.S. Census 2014 Population Estimates. The US Office of Management and Budget also includes Durham as a part of the Raleigh-Durham-Chapel Hill Combined Statistical Area, which has a population of 2,037,430 as of U.S. Census 2014 Population Estimates.","Bull City, City of Medicine","Durham, Wake",Council-Manager,,Steve Schewel,107.4 sq mi (278.1 km2),0.9 sq mi (2.4 km2),"542,710 (US: 100th)",404 ft (123 m),2037430.0,UTC−5 (EST),"27701, 27702, 27703, 27704, 27705, 27706, 27707, 27708, 27709, 27710, 27711, 27712, 27713, 27715, 27717, 27722",919,37-19000,,durhamnc.gov,278.1,2.4,,123.0
76,Chula Vista,California,271651,243916,11.37,128.5,2080,32°37′40″N 117°00′55″W,"Chula Vista (/ˌtʃuːlə ˈvɪstə/; English: beautiful view ) is the second largest city in the San Diego metropolitan area, the seventh largest city in Southern California, the fourteenth largest city in the state of California, and the 74th-largest city in the United States. The population was 243,916 as of the 2010 census.",Lemon Capital of the WorldChula-juana,San Diego,Council-Manager,,,49.63 sq mi (128.55 km2),2.46 sq mi (6.38 km2)  4.73%,"San Diego–Tijuana: 5,105,768",66 ft (20 m),,UTC-8 (PST),"91909-91915, 91921",619,06-13392,San Diego International AirportSAN (Major/International),www.chulavistaca.gov,128.55,6.38,,20.0
77,Fort Wayne,Indiana,267633,253691,5.5,286.5,923,41°05′18″N 85°08′38″W,Coordinates: 41°04′49.62″N 85°08′20.94″W﻿ / ﻿41.0804500°N 85.1391500°W﻿ / 41.0804500; -85.1391500,"Summit City, City of Churches, City That Saved Itself, Magnet Wire Capital of the World",Allen,Mayor–council,,Tom Henry (D),110.63 sq mi (286.52 km2),0.21 sq mi (0.55 km2),"1,368 sq mi (3,540 km2)",810 ft (247 m),615077.0,UTC−05:00 (EST),"46774, 46802-46809, 46814-46816, 46818, 46819, 46825, 46835, 46845",260,18-25000,,www.cityoffortwayne.org,286.52,0.55,3540.0,247.0
78,Jersey City,New Jersey,265549,247597,7.25,38.3,6891,40°42′41″N 74°03′53″W,"Jersey City is the second most populous city in the U.S. state of New Jersey, after Newark. It is the seat of Hudson County as well as the county's largest city. As of 2018, the Census Bureau's Population Estimates Program calculated that Jersey City's population was 265,549, with the largest population increase of any municipality in New Jersey since 2010, an increase of about 9.4% from the 2010 United States Census, when the city's population was at 247,597,  ranking the city the 78th-most-populous in the nation.","Wall Street West, J.C., Chilltown, Sixth Borough, America's Golden Door",Hudson,Faulkner Act (Mayor-Council),City Council,Steven Fulop(D),14.794 sq mi (38.316 km2),6.286 sq mi (16.281 km2)  29.82%,,20 ft (6 m),,UTC−5 (EST),"07097, 07302-07308, 07310-07311",201,3401736000,,www.jerseycitynj.gov,38.316,16.281,,6.0
79,St. Petersburg,Florida,265098,244769,8.31,160.1,1631,27°45′43″N 82°38′39″W,"St. Petersburg is a city in Pinellas County, Florida, United States. As of the 2015 census estimate, the population was 257,083, making it the fifth-most populous city in Florida and the largest in the state that is not a county seat (the city of Clearwater is the seat of Pinellas County).",,,,,,,,,,,,,,,,,,,,
80,Laredo,Texas,261639,236091,10.82,261.8,982,27°33′37″N 99°29′21″W,"Laredo (/ləˈreɪdoʊ/ lə-RAY-doh; Spanish: [laˈɾeðo]) is a city in and the county seat of Webb County, Texas, United States, on the north bank of the Rio Grande in South Texas, across from Nuevo Laredo, Tamaulipas, Mexico. Laredo has the distinction of flying seven flags (the Flag of the Republic of the Rio Grande, which is now the flag of the city, in addition to the Six Flags of Texas). Founded in 1755, Laredo grew from a village to the capital of the brief Republic of the Rio Grande to the largest inland port on the Mexico–United States border. Laredo's economy is based on international trade with Mexico. Many major transportation companies have a facility in Laredo. The city is on the southern end of I-35 which makes it close to the manufacturers in northern Mexico.  It has four international bridges and one railway bridge.",The Gateway City and The City Under Seven Flags,Webb,Council-manager,,Pete Saenz (D),101.1 sq mi (261.8 km2),1.5 sq mi (3.9 km2),Laredo-Nuevo Laredo Metropolitan Area,438 ft (137.2 m),,UTC−6 (CST),"78040-78046, 78049",956,48-41464,Laredo International Airport KLRD (LRD),laredotexas.gov,261.8,3.9,,137.2
81,Madison,Wisconsin,258054,233209,10.65,199.4,1270,43°05′16″N 89°25′48″W,"Madison is the capital of the U.S. state of Wisconsin and the seat of Dane County. As of July 1, 2017, Madison's estimated population of 255,214 made it the second-largest city in Wisconsin by population, after Milwaukee, and the 82nd-largest in the United States. The city forms the core of the Madison Metropolitan Area which includes Dane County and neighboring Iowa, Green, and Columbia counties for a population of 654,230.","Madtown, Mad City, The City of Four Lakes",Dane,,,Satya Rhodes-Conway (D),78.95 sq mi (204.48 km2),21.96 sq mi (56.88 km2),"654,230 (US: 86th)",873 ft (226 m),880520.0,UTC−6 (Central),,608,55-48000,,cityofmadison.com,204.48,56.88,,226.0
